@relation twsp

@attribute x numeric
@attribute y numeric
@attribute class {0,1}

@data
0.035427,-0.19522,0
0.0817,-0.20541,0
0.13306,-0.20455,0
0.186746,-0.19113,0
0.239627,-0.16435,0
0.28835,-0.12412,0
0.32953,-0.07115,0
0.359943,-0.00696,0
0.376694,0.066195,0
0.377419,0.145363,0
0.360417,0.227041,0
0.324802,0.307314,0
0.270584,0.382044,0
0.198716,0.447063,0
0.111121,0.498388,0
0.010626,0.532419,0
-0.09911,0.546163,0
-0.21374,0.537389,0
-0.32838,0.504798,0
-0.43784,0.448118,0
-0.53684,0.36819,0
-0.62026,0.266983,0
-0.68339,0.147548,0
-0.72215,0.013953,0
-0.73333,-0.12887,0
-0.71477,-0.2753,0
-0.66553,-0.41924,0
-0.58595,-0.5544,0
-0.47773,-0.67452,0
-0.3439,-0.77368,0
-0.18876,-0.8466,0
-0.01774,-0.88885,0
0.1628,-0.89711,0
0.345778,-0.86937,0
0.523691,-0.80505,0
0.688925,-0.7051,0
0.83405,-0.57203,0
0.952173,-0.40985,0
1.03725,-0.22395,0
1.084353,-0.02096,0
1.089961,0.191541,0
1.052132,0.405231,0
0.970646,0.611449,0
0.847099,0.801485,0
0.684872,0.96699,0
0.48908,1.100307,0
0.2664,1.194823,0
0.024849,1.245285,0
-0.22649,1.248062,0
-0.47782,1.201347,0
-0.71901,1.105298,0
-0.94002,0.962088,0
-1.13126,0.775877,0
-1.28409,0.552719,0
-1.39111,0.300352,0
-1.44656,0.027953,0
-1.4466,-0.25421,0
-1.38949,-0.53516,0
-1.27576,-0.80365,0
-1.10825,-1.04857,0
-0.89202,-1.25946,0
-0.63426,-1.42693,0
-0.34404,-1.54304,0
-0.03196,-1.60171,0
0.290172,-1.59901,0
0.609855,-1.53333,0
0.914326,-1.40555,0
1.191101,-1.21907,0
1.428472,-0.97972,0
1.616,-0.69559,0
1.744967,-0.37675,0
1.808767,-0.03495,0
1.803232,0.316883,0
1.726846,0.665098,0
1.580878,0.995852,0
1.369395,1.295659,0
1.099163,1.551936,0
0.779444,1.753548,0
0.421678,1.891257,0
0.039075,1.958148,0
-0.35386,1.949959,0
-0.74189,1.865304,0
-1.10964,1.705802,0
-1.44219,1.476055,0
-1.72569,1.183561,0
-1.94791,0.838454,0
-2.09882,0.453155,0
-2.17097,0.041953,0
-2.15986,-0.37956,0
-2.0642,-0.79503,0
-1.88599,-1.18806,0
-1.63054,-1.54274,0
-1.30631,-1.84441,0
-0.92463,-2.08017,0
-0.49932,-2.23948,0
-0.04619,-2.31458,0
-0.03543,0.195216,1
-0.0817,0.205412,1
-0.13306,0.204546,1
-0.18675,0.191131,1
-0.23963,0.164347,1
-0.28835,0.124116,1
-0.32953,0.071147,1
-0.35994,0.006955,1
-0.37669,-0.0662,1
-0.37742,-0.14536,1
-0.36042,-0.22704,1
-0.3248,-0.30731,1
-0.27058,-0.38204,1
-0.19872,-0.44706,1
-0.11112,-0.49839,1
-0.01063,-0.53242,1
0.099111,-0.54616,1
0.213739,-0.53739,1
0.328378,-0.5048,1
0.437836,-0.44812,1
0.536838,-0.36819,1
0.620263,-0.26698,1
0.68339,-0.14755,1
0.72215,-0.01395,1
0.73333,0.128868,1
0.714774,0.275297,1
0.665533,0.419245,1
0.585952,0.554398,1
0.477726,0.674517,1
0.343898,0.773685,1
0.18876,0.846603,1
0.017737,0.888852,1
-0.1628,0.897112,1
-0.34578,0.86937,1
-0.52369,0.805046,1
-0.68893,0.705101,1
-0.83405,0.572034,1
-0.95217,0.409851,1
-1.03725,0.22395,1
-1.08435,0.020955,1
-1.08996,-0.19154,1
-1.05213,-0.40523,1
-0.97065,-0.61145,1
-0.8471,-0.80148,1
-0.68487,-0.96699,1
-0.48908,-1.10031,1
-0.2664,-1.19482,1
-0.02485,-1.24529,1
0.226488,-1.24806,1
0.477816,-1.20135,1
0.719009,-1.1053,1
0.940015,-0.96209,1
1.131261,-0.77588,1
1.284087,-0.55272,1
1.391107,-0.30035,1
1.44656,-0.02795,1
1.446596,0.254213,1
1.389487,0.535165,1
1.275762,0.803649,1
1.108245,1.048572,1
0.892017,1.259463,1
0.634262,1.42693,1
0.344039,1.543038,1
0.031964,1.601715,1
-0.29017,1.599009,1
-0.60986,1.533327,1
-0.91433,1.40555,1
-1.1911,1.219072,1
-1.42847,0.979721,1
-1.616,0.695586,1
-1.74497,0.376753,1
-1.80877,0.034955,1
-1.80323,-0.31688,1
-1.72685,-0.6651,1
-1.58088,-0.99585,1
-1.3694,-1.29566,1
-1.09916,-1.55194,1
-0.77944,-1.75355,1
-0.42168,-1.89126,1
-0.03908,-1.95815,1
0.35386,-1.94996,1
0.741894,-1.8653,1
1.109644,-1.7058,1
1.442191,-1.47606,1
1.725687,-1.18356,1
1.947914,-0.83845,1
2.098823,-0.45316,1
2.170971,-0.04195,1
2.159863,0.379556,1
2.064201,0.795032,1
1.885994,1.188056,1
1.630542,1.542742,1
1.306309,1.844413,1
0.924626,2.080171,1
0.499318,2.239476,1
0.04619,2.31458,1
0.039756,-0.19668,0
0.086649,-0.20585,0
0.138371,-0.20379,0
0.192126,-0.18906,0
0.244743,-0.16092,0
0.29286,-0.11937,0
0.333109,-0.0652,0
0.362276,0,0
0.37752,0.073895,0
0.376535,0.153481,0
0.3577,0.235198,0
0.320208,0.315104,0
0.264168,0.389049,0
0.190626,0.452873,0
0.101597,0.502623,0
0,0.534751,0
-0.11043,0.54633,0
-0.22528,0.535214,0
-0.33964,0.500206,0
-0.44829,0.441148,0
-0.54596,0.358985,0
-0.62756,0.2558,0
-0.68842,0.134754,0
-0.72455,0,0
-0.73284,-0.14345,0
-0.71123,-0.28991,0
-0.65892,-0.43326,0
-0.57638,-0.56719,0
-0.46544,-0.68547,0
-0.32926,-0.78224,0
-0.17227,-0.85227,0
0,-0.89125,0
0.181109,-0.89598,0
0.363921,-0.86458,0
0.540914,-0.79663,0
0.70446,-0.69323,0
0.847186,-0.55705,0
0.962259,-0.39223,0
1.043738,-0.2043,0
1.086828,0,0
1.08815,0.212995,0
1.045934,0.426336,0
0.960143,0.63132,0
0.832546,0.819274,0
0.666707,0.981888,0
0.467901,1.111601,0
0.242949,1.201924,0
0,1.247752,0
-0.25179,1.245631,0
-0.50256,1.193942,0
-0.74218,1.093045,0
-0.96063,0.945315,0
-1.14841,0.755108,0
-1.29696,0.528655,0
-1.39905,0.273853,0
