@relation vowel

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11}

@data
-0.500881,-1.245468,-0.227868,1.66414,0.207128,1.65061,-0.830511,0.335683,-1.001513,-1.2296,1
-0.141843,-1.1791,-0.261578,1.118873,0.061176,2.157341,-0.77639,0.302541,-0.557779,-0.689852,2
1.24713,-0.840455,-1.500433,-0.485318,-0.603884,1.538003,-1.243996,0.592092,-0.88751,0.036987,3
1.054953,-0.061912,-1.390874,0.653948,-1.124496,0.711668,-1.218018,-0.177136,0.371782,-1.198142,4
0.697065,0.04785,-0.475077,0.719801,-1.997198,0.221497,0.862398,-0.848684,1.017213,-0.53753,5
0.404771,0.027429,-0.347259,0.407656,-1.929489,0.372191,0.47922,-1.016135,0.948811,-0.486205,6
-0.320211,0.546458,0.105021,0.701362,-2.541885,0.450022,0.706529,0.197884,1.192602,-0.48786,7
-0.848412,0.360118,0.887381,1.653603,-2.271046,-0.061676,-0.932259,1.143285,1.539872,-0.380242,8
-0.755201,0.199304,-0.605705,0.227217,-0.555735,1.736721,-1.098952,1.031651,0.238486,-0.600446,9
-0.511238,-0.05936,-1.222322,1.399409,0.557713,1.567811,-0.999369,0.637443,0.636619,-1.266025,10
0.197633,-0.121473,-0.889433,0.291754,-0.794975,1.251518,-1.235337,0.597325,0.499816,-1.244501,11
-0.516992,-1.283757,-0.129546,1.566677,0.125876,1.879135,-0.754741,0.349637,-0.866464,-1.227944,1
-0.038274,-1.230152,-0.494741,1.116239,0.082241,2.127533,-0.845665,0.722913,-0.826124,-0.423289,2
1.229869,-0.789403,-1.57909,-0.519561,-0.59937,1.605898,-1.350074,0.65663,-1.052376,0.073411,3
1.03539,-0.083184,-1.402111,0.613118,-0.986067,0.291048,-0.627016,-0.590531,0.740099,-1.140194,4
0.763809,0.223128,-0.725095,0.549899,-1.897891,0.652052,0.41644,-0.669024,1.073337,-0.929924,5
0.43469,0.103156,-0.323381,0.376046,-2.051366,0.511294,0.539836,-1.035323,0.980381,-0.640182,6
-0.435288,0.418828,0.210366,0.851508,-2.478689,-0.015309,0.743331,0.032178,1.25925,-0.310704,7
-0.85992,0.31332,0.891595,1.654921,-2.40797,-0.104732,-0.925764,1.235732,1.580211,-0.366997,8
-0.666592,0.078481,-0.972304,0.119217,-0.518118,1.446924,-0.28064,0.333938,1.21891,-0.842174,9
-0.540007,-0.06021,-1.260247,1.456043,0.526116,1.559531,-0.971226,0.712447,0.415629,-1.095491,10
0.296599,-0.198051,-0.925953,0.358924,-0.907825,1.109104,-1.207194,0.986299,0.408614,-1.275959,11
-0.530801,-1.314388,-0.187135,1.679945,0.168007,1.748313,-0.767731,0.407198,-0.654243,-1.274303,1
0.044581,-1.253977,-0.650652,0.910776,0.011522,2.137469,-0.455993,0.674073,-0.331527,-0.585545,2
1.264392,-0.720483,-1.681625,-0.374684,-0.379689,1.529723,-1.395536,0.651397,-0.968189,-0.131892,3
